2024-05-09 17:59:07 INFO  pooling:136 - HHH10001005: Loaded JDBC driver class: org.h2.Driver
2024-05-09 17:59:07 INFO  pooling:158 - HHH10001012: Connecting with JDBC URL [jdbc:h2:./data/data]
2024-05-09 17:59:07 INFO  pooling:164 - HHH10001001: Connection properties: {}
2024-05-09 17:59:07 INFO  pooling:171 - HHH10001003: Autocommit mode: false
2024-05-09 17:59:07 DEBUG pooling:363 - Initializing Connection pool with 1 Connections
2024-05-09 17:59:07 INFO  pooling:371 - HHH10001115: Connection pool size: 20 (min=1)
2024-05-09 17:59:07 DEBUG JdbcEnvironmentInitiator:353 - Database ->
       name : H2
    version : 2.2.224 (2023-09-17)
      major : 2
      minor : 2
2024-05-09 17:59:07 DEBUG JdbcEnvironmentInitiator:364 - Driver ->
       name : H2 JDBC Driver
    version : 2.2.224 (2023-09-17)
      major : 2
      minor : 2
2024-05-09 17:59:07 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2024-05-09 17:59:07 WARN  deprecation:153 - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-09 17:59:07 DEBUG dialect:94 - HHH035001: Using dialect: org.hibernate.dialect.H2Dialect, version: 2.2.224
2024-05-09 17:59:07 DEBUG IdentifierHelperBuilder:116 - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2024-05-09 17:59:07 DEBUG JdbcTypeRegistry:74 - addDescriptor(NCharTypeDescriptor) replaced previous registration(CharTypeDescriptor)
2024-05-09 17:59:07 DEBUG JdbcTypeRegistry:74 - addDescriptor(NVarcharTypeDescriptor) replaced previous registration(VarcharTypeDescriptor)
2024-05-09 17:59:07 DEBUG JdbcTypeRegistry:74 - addDescriptor(LongNVarcharTypeDescriptor) replaced previous registration(LongVarcharTypeDescriptor)
2024-05-09 17:59:07 DEBUG JdbcTypeRegistry:74 - addDescriptor(NClobTypeDescriptor(DEFAULT)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2024-05-09 17:59:07 DEBUG JdbcTypeRegistry:82 - addDescriptor(2005, ClobTypeDescriptor(STREAM_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2024-05-09 17:59:07 DEBUG JdbcTypeRegistry:74 - addDescriptor(TimestampUtcDescriptor) replaced previous registration(TimestampUtcDescriptor)
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:371 - Adding type registration org.hibernate.type.DurationType -> basicType@1(java.time.Duration,3015)
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:371 - Adding type registration Duration -> basicType@1(java.time.Duration,3015)
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:371 - Adding type registration java.time.Duration -> basicType@1(java.time.Duration,3015)
2024-05-09 17:59:07 DEBUG TypeConfiguration$Scope:194 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@3c4465a1] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@1124f5d5]
